,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,276700866106,o***o,40,"Great! Very strong, light, easy to empty, clean, and moreâ¦ I love it!",2024-11-18T07:00:00.000Z,Positive
1,276700866106,2***y,85,Great item!  Fast shipping!  Would buy again!,2024-11-11T07:00:00.000Z,Positive
2,276700866106,s***t,5,Very happy customer thank you shipping was very fast,2024-11-11T07:00:00.000Z,Positive
3,276700866106,9***9,2,So far so good! Fast shipping and packaged very well. ,2024-11-11T07:00:00.000Z,Positive
4,276700866106,9***j,83,"Vacuum is good. I love it, but the shipping was a joke. First, they said it will arrive one day late then it arrived 4 days late!",2024-11-11T07:00:00.000Z,Neutral
5,276700866106,r***l,70,Refurb looked brand new.,2024-11-11T07:00:00.000Z,Positive
6,276700866106,n***k,1633,Super seller ,2024-11-11T07:00:00.000Z,Positive
7,276700866106,o***2,212,Thanks for the vacuum. ,2024-11-11T07:00:00.000Z,Positive
8,276700866106,1***4,5,Looks brand new! Quick delivery and great product. Will definitely consider buying again.,2024-11-11T07:00:00.000Z,Positive
9,276700866106,v***n,109,This transaction was super easy. The communication was great. The price was amazing and the delivery was fast. This vacuum cleaner is incredible and powerful but also lightweight. What an investment. I am so happy with this purchase. I would strongly recommend this product and seller.,2024-11-11T07:00:00.000Z,Positive
10,276700866106,p***y,1693,"good product and fair price, fast shipping.",2024-11-11T07:00:00.000Z,Positive
11,276700866106,h***m,5864,Great deal + fast shipping + happy buyer = 5 stars for you!!! â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸,2024-11-11T07:00:00.000Z,Positive
12,276700866106,k***8,466,Ok.,2024-11-11T07:00:00.000Z,Positive
13,276700866106,4***e,170,"Good seller, great price, fast ship
",2024-11-11T07:00:00.000Z,Positive
14,276700866106,d***o,133,stronger than my big dyson from 2010 that still works good,2024-11-04T07:00:00.000Z,Positive
15,276700866106,l***l,830,"As described, looked like new, fast delivery.",2024-11-04T07:00:00.000Z,Positive
16,276700866106,c***e,668,"Thank you!  This is awesome, just as described.  I would highly recommend purchasing from this seller, Dyson.  I know the vacuum was refurbished but it looks nearly brand new. A+++++",2024-11-04T07:00:00.000Z,Positive
17,276700866106,1***2,596,A+service! ,2024-11-04T07:00:00.000Z,Positive
18,276700866106,o***e,33,"Great value! Item arrived quickly and is indistinguishable from new, all at a great price and with a warranty, super satisfied!",2024-11-04T07:00:00.000Z,Positive
19,276700866106,t***w,190,Thank you fast shipping ,2024-11-04T07:00:00.000Z,Positive
20,276700866106,h***a,7,"Came with the full unit, attachments, instructions, and 2 year warranty. Works like new! Picks up cat hair and cat litter very easily.",2024-11-04T07:00:00.000Z,Positive
21,276700866106,o***o,2140,Awesome! Thank you. ,2024-11-04T07:00:00.000Z,Positive
22,276700866106,u***5,131,Super fast shipping came nicely packaged and came with a 2 year warranty canât beat that ,2024-11-04T07:00:00.000Z,Positive
23,276700866106,c***g,334,Works great! Quick shipping. A++,2024-11-04T07:00:00.000Z,Positive
24,276700866106,b***4,506,Great price very fast shipping great ebayer ,2024-10-28T07:00:00.000Z,Positive
25,276658865411,.***7,53,Exactly as described. Fast shipping. ,2024-11-18T07:00:00.000Z,Positive
26,276658865411,e***s,59,As always Dayson best one,2024-11-18T07:00:00.000Z,Positive
27,276658865411,l***f,20,It was a perfect transaction. I am very satisfied and give a thumbs up to the seller.,2024-11-18T07:00:00.000Z,Positive
28,276658865411,1***7,158,"I've had the vacuum for a week and have used it 2 times. It's amazing! Like brand new. Everything was clean, as if no one ever used it! Suction is great! Very happy with it so far.",2024-11-18T07:00:00.000Z,Positive
29,276658865411,n***t,258,"great product
Like new",2024-11-18T07:00:00.000Z,Positive
30,276658865411,g***s,270,Good value for this price point. ,2024-11-18T07:00:00.000Z,Positive
31,276658865411,s***s,1748,looks good thanks,2024-11-11T07:00:00.000Z,Positive
32,276658865411,9***r,28,"Amazing product, high quality!",2024-11-11T07:00:00.000Z,Positive
33,276658865411,e***1,41,good,2024-11-11T07:00:00.000Z,Positive
34,276658865411,o***n,343,Item was in excellent condition. Works like new. ,2024-11-11T07:00:00.000Z,Positive
35,276658865411,g***d,80,Always happy with the refurbished Dyson vaccuums.,2024-11-11T07:00:00.000Z,Positive
36,276658865411,a***i,1037,Good Product.  Fast delivery ,2024-11-11T07:00:00.000Z,Positive
37,276658865411,s***s,62,Fast delivery.  Product as described.,2024-11-11T07:00:00.000Z,Positive
38,276658865411,j***h,577,Very happy ï¿¼AAA,2024-11-11T07:00:00.000Z,Positive
39,276658865411,d***c,157,Like new,2024-11-11T07:00:00.000Z,Positive
40,276658865411,6***a,178,"Great transaction! Item exactly as described, great price, and fast shipping!",2024-11-11T07:00:00.000Z,Positive
41,276658865411,e***8,328,"Fast shipping. Item received in 2 days from purchase, in good condition and works as it should. Unless any issues arise in the next few months with the refurbed V11 I'd buy another vacuum from them if need be.",2024-11-11T07:00:00.000Z,Positive
42,276658865411,2***9,16,Packaged very well in great condition and works great ,2024-11-11T07:00:00.000Z,Positive
43,276658865411,e***a,37,great,2024-11-11T07:00:00.000Z,Positive
44,276658865411,r***o,843,Arrived earlier than expected. Thank you.,2024-11-11T07:00:00.000Z,Positive
45,276658865411,t***_,243,As described and well priced. Fast shipping,2024-11-11T07:00:00.000Z,Positive
46,276658865411,c***s,237,Good deal. Fast shipping. Repeat customer.,2024-11-11T07:00:00.000Z,Positive
47,276658865411,k***e,105,Works perfectly! Like new... ,2024-11-11T07:00:00.000Z,Positive
48,276658865411,l***8,322,Super fast delivery and great customer service !,2024-11-11T07:00:00.000Z,Positive
49,276658865411,l***e,42,dyson v11. too epic. ,2024-11-11T07:00:00.000Z,Positive
50,276014546170,m***r,896,Thank you!,2024-11-18T07:00:00.000Z,Positive
51,276014546170,c***c,1533,Great item,2024-11-11T07:00:00.000Z,Positive
52,276014546170,v***1,1141,Good Seller With Good Prices & Fast Shipping. A++++,2024-11-11T07:00:00.000Z,Positive
53,276014546170,g***g,109,Excellent communication and fast shipping.  Item exactly as described and arrived in perfect condition:),2024-11-11T07:00:00.000Z,Positive
54,276014546170,a***l,605,I ordered and received the V10 Dyson Animal.  Received it quickly.  Good packaging . But the large sweeper head did not fit my sweeper.  All other attachments fit.  I have contacted the seller 5 xs without any response.  I allowed him several weeks to respond as according to his feedbacks he cooperated well when there was a problem with his products.  So I am surprised and disappointed that he has not contacted me to correct this problem.  my vacuum is useless without the large vacuum head.,2024-11-11T07:00:00.000Z,Negative
55,276014546170,v***s,24,"Charger issue, otherwise good",2024-11-11T07:00:00.000Z,Neutral
56,276014546170,r***z,138,Item was exactly as described and shipped quickly.,2024-11-11T07:00:00.000Z,Positive
57,276014546170,t***r,232,Love it! Works and looks like new!!!,2024-11-11T07:00:00.000Z,Positive
58,276014546170,w***a,253,As expected.  It's a nice vacuum ,2024-11-04T07:00:00.000Z,Positive
59,276014546170,s***m,6,They are presents.  I can't rate them.,2024-11-04T07:00:00.000Z,Neutral
60,276014546170,h***s,41,Great item at a great price. Refurbished but appeared to be brand new.,2024-11-04T07:00:00.000Z,Positive
61,276014546170,y***i,101,Exactly as advertised. Works great and looks brand new. ,2024-11-04T07:00:00.000Z,Positive
62,276014546170,f***c,22,great Seller,2024-11-04T07:00:00.000Z,Positive
63,276014546170,o***1,1236,worked great,2024-11-04T07:00:00.000Z,Positive
64,276014546170,r***t,416,Thanks a lot,2024-11-04T07:00:00.000Z,Positive
65,276014546170,n***c,174,Item as describedâ¦quick shipping. ,2024-11-04T07:00:00.000Z,Positive
66,276014546170,a***i,390,Great! Affordable price and fast shipping,2024-11-04T07:00:00.000Z,Positive
67,276014546170,s***a,138,Complicated to assemble.  No assembly info included. Not good. ,2024-11-04T07:00:00.000Z,Positive
68,276014546170,e***7,64,"The purchase was quick and easy,  Bought this one for our son in his new apartment.  
Love these cordless machines.  it's our third V10
Delivered with great packaging and no hassles",2024-10-28T07:00:00.000Z,Positive
69,276014546170,d***a,861,"the only issue is all of the instructions are online would be nice to have a quick start guide

thanks",2024-10-28T07:00:00.000Z,Positive
70,276014546170,i***u,835,"Fast shipping, excellent item.  Looks and works like new.  Thanks!",2024-10-28T07:00:00.000Z,Positive
71,276014546170,p***s,700,excellent refurb...recommend,2024-10-28T07:00:00.000Z,Positive
72,276014546170,a***g,21,"Meets my needs, great battery life, upgrade from my last Dyson vacuum which stopped functioning properly after years of use. ",2024-10-28T07:00:00.000Z,Positive
73,276014546170,r***r,78,It is by far the best cordless vacuum I have EVER owned. I stepped up and got this Dyson and I am so happy that I did.,2024-10-28T07:00:00.000Z,Positive
74,276014546170,2***-,72,"Perfect condition, just as described.",2024-10-28T07:00:00.000Z,Positive
75,276586109808,u***k,10,ð,2024-11-18T07:00:00.000Z,Positive
76,276586109808,i***b,80,"Does the job. Battery definitely could last more than 30 minutes on high but for a small apartment, it works.",2024-10-21T07:00:00.000Z,Positive
