,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
58,364015807309,t***9,4,"Item was as described, package arrived on time. 5 star service.",2024-06-10T07:00:00.000Z,Positive
59,364015807309,i***i,18,Arrived on time and was in great condition ,2024-02-26T07:00:00.000Z,Positive
60,364015807309,e***k,5,Amazing seller almost brand new,2024-01-01T07:00:00.000Z,Positive
61,364493895976,6***6,1,Love my hair dryer! I have no issues with the product or the seller,2024-11-04T07:00:00.000Z,Positive
62,364493895976,3***4,1108,Product works great! Speedy delivery!,2024-09-30T07:00:00.000Z,Positive
63,364493895976,h***4,7,Highly satisfied! ,2024-09-30T07:00:00.000Z,Positive
64,364493895976,s***t,94,As listed. Works well,2024-09-09T07:00:00.000Z,Positive
65,364493895976,3***r,224,Love the color!,2024-08-19T07:00:00.000Z,Positive
66,364493895976,t***1,158,"Item as described and shipped out promptly. There were signs of usage as it was a refurbished unit, but with a similar performance to a new unit, and for its price, it was a good purchase.",2024-08-05T07:00:00.000Z,Positive
67,364493895976,y***y,193,No flaw found. Very precise description. ,2024-07-29T07:00:00.000Z,Positive
68,364493895976,c***z,1802,Great purchase.   Glad we bought.  Powerful dryer. ,2024-06-17T07:00:00.000Z,Positive
69,364493895976,m***2,475,Itâs perfect ,2024-05-20T07:00:00.000Z,Positive
70,364493895976,e***i,73,Item condition was exactly as described. Seller was great with communication and shipment was very prompt. Would purchase from this seller again.,2024-04-08T07:00:00.000Z,Positive
71,364493895976,b***m,714,Great condition! Recommend ,2024-03-18T07:00:00.000Z,Positive
72,364493895976,j***l,31,Thank you,2024-03-11T07:00:00.000Z,Positive
73,364493895976,y***a,722,"Just as described, tank you.",2024-01-29T07:00:00.000Z,Positive
74,364493895976,u***f,116,Perfect product. Exactly as wanted. Thank you!,2024-01-29T07:00:00.000Z,Positive
75,364493895976,h***i,54,Exactly as described! Very nice. Great communication and perfect shipping. Thanks so much. A++++,2024-01-29T07:00:00.000Z,Positive
76,364493895976,u***u,523,"works perfectly, great condition",2024-01-08T07:00:00.000Z,Positive
77,364493895976,i***a,382,Worked well. Thank you! ,2023-12-25T07:00:00.000Z,Positive
78,364493895976,d***d,2203,great item  runs perfectly,2023-12-18T07:00:00.000Z,Positive
79,364493895976,n***i,5873,great dryer ;  fast shipping ;  AAA+++,2023-12-18T07:00:00.000Z,Positive
80,364493895976,0***7,101,It was what was described,2023-12-18T07:00:00.000Z,Positive
81,364493895976,u***2,879,Great Seller,2023-12-18T07:00:00.000Z,Positive
82,364493895976,o***8,1133,Works and looks like new.  Thank you! ,2023-12-11T07:00:00.000Z,Positive
83,364493895976,d***d,129,"super
fast shipping! ",2023-11-27T07:00:00.000Z,Positive
84,364493846251,j***a,2,"Fast shipping, great condition!",2024-11-11T07:00:00.000Z,Positive
85,364493846251,w***o,161,"good service, fast shipping",2024-10-21T07:00:00.000Z,Positive
86,364493846251,a***n,79,This is by far the best seller on ebay!,2024-10-07T07:00:00.000Z,Positive
87,364493846251,n***e,29,Item is as described. The shipping was quick. I would order from this seller again! ,2024-07-15T07:00:00.000Z,Positive
88,364493846251,o***a,260,Excellent Ebayer!!! A+++,2024-06-03T07:00:00.000Z,Positive
89,364493846251,y***e,228,Works perfectly and arrived quickly! Yey!!!,2024-04-01T07:00:00.000Z,Positive
90,364493846251,2***5,35,Fast shipping excellent condition ,2024-02-19T07:00:00.000Z,Positive
91,364493846251,h***s,6,"Works perfectly, shipped quickly, great seller!",2024-02-12T07:00:00.000Z,Positive
92,364493846251,o***y,16,I haven't used the hair dryer but I know I will like it because I used my daughter's.Shipping was very fast.,2024-02-12T07:00:00.000Z,Positive
93,364493846251,v***c,4,It was exactly as described and works great! Iâm very happy getting a Dyson blow dryer at this price!,2024-02-12T07:00:00.000Z,Positive
94,364493846251,e***p,55,Great communication! Item shipped quickly and was as described. ,2024-01-22T07:00:00.000Z,Positive
95,364493846251,s***u,192,packaging and contents were in good condition and shipped quickly 5/5,2024-01-15T07:00:00.000Z,Positive
96,364493846251,1***-,88,Great seller,2024-01-08T07:00:00.000Z,Positive
97,364493846251,s***o,255,"A++ seller!! Item arrived quickly, on time, & in great condition!!",2024-01-08T07:00:00.000Z,Positive
98,364493846251,2***s,74,Item shipped quickly and in good condition. Would buy from this seller again! ,2024-01-08T07:00:00.000Z,Positive
99,364493846251,7***7,775,Great price and even came with a one year warranty. Shipping is a little on the slow side so I'm going to ding you on that. I don't particularly care to pay for something that just floats out there in the shipping hell for weeks on end,2024-01-08T07:00:00.000Z,Positive
