,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,156329289418,5***1,317,C'̬ stato un piccolo problema che tempestivamente hanno risolto con cortesia e scuse.. venditore e comunicazione fantastica...sempre presenti,2024-09-02T07:00:00.000Z,Positive
1,176471490333,i***1,485,"Alles super gelaufen, Ware war original verpackt. Sehr netter Kontakt und Blitz Versand! Vielen Dank ich bin sehr zufrieden :-)",2024-08-05T07:00:00.000Z,Positive
2,325274463415,o***c,218,Unbelievably fast service and shipping! A++++,2024-10-07T07:00:00.000Z,Positive
3,395354328886,4***a,57,Order was cancelled by seller. Don't know why. Disappointed. ,2024-07-01T07:00:00.000Z,Neutral
4,156192519202,r***n,633,perfetto,2024-10-14T07:00:00.000Z,Positive
5,156117590263,.***a,530,Tutto perfetto grazie.,2024-04-15T07:00:00.000Z,Positive
