seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
199,skyfalcon,3641,99.5
200,usmuha.ab6ad0cbf,76,100.0
201,jcsretrorelics,1525,100.0
202,bybristolbay,14054,99.7
203,redfox_group,25400,99.0
204,jacks_warehousedeals,630,100.0
205,angelam2014,4992,99.8
206,vargen87,91,98.8
207,oemliquidators,3709,99.2
208,kimsquilts,8817,100.0
209,leemodreamo,35,100.0
210,xlgaming2023,1887,97.3
211,smmatt,29324,99.8
212,pcstam,4327,99.5
213,alex-appliance718,21,100.0
214,splendidcommodities4u,6644,99.6
215,donnemercanti,65,100.0
216,dgal3497,675,97.2
217,yesmulti,4340,98.0
218,wvdisney,11793,99.1
219,nt_electronics,37560,98.7
220,nexgennetwork,5845,100.0
221,dymas-5554,18,100.0
222,loisyloisa,70,100.0
223,a*omega,2290,99.2
224,chevytahoe97,20313,98.5
225,bikelyfe313,389,96.4
226,bigmoates,316,100.0
227,niklos23,20,100.0
228,jnzbros,50,0.0
229,mikacab-0,20,100.0
230,arthzero,96,100.0
231,ivamad9655,366,98.7
232,munndisko,132,100.0
233,dailydeals619,82,92.9
234,shajo-9807,-1,0.0
235,speedyshipping-7,1370,98.9
236,carpenter-llc1,40,100.0
237,igotasuperdeal,11268,98.9
238,ransm-89,2362,98.1
239,mountainmama673,51,100.0
240,retail_king,15414,97.6
241,alphamod.solutions,14,100.0
242,samedayships,3355,96.7
243,josci_7270,0,0.0
244,jeemmen0,135,100.0
245,954ebuyer,12116,100.0
246,simplybettertech,91,91.3
247,bling.watches.depot,3097,99.4
248,napapi_87,10038,99.7
249,boxedreturns,12863,94.9
250,rockstaraudiolv,2215,98.1
251,jpotter_4,1379,99.2
252,l.y.berditchevco,945,98.4
253,tayybealli,412,98.1
254,globaldeals247,9668,97.1
255,the-open-box-com,13141,98.4
256,kingtradeinc,21,95.7
257,friendlysales21,1189,99.8
258,iluvluke,18268,98.7
259,electrojungle,6084,98.1
260,ror_rom_ojxmcvhp,120,100.0
261,aubpa_89,16,92.9
262,sasum9886,0,0.0
263,le487171,6129,98.6
264,jssales0,14,100.0
265,adlemi68,3140,98.7
266,re-retailer,40526,99.8
267,wav16,457,100.0
268,wt_outlets,3074,97.9
269,umbrllliq,12,100.0
270,fiatm-0,227,100.0
271,dvb5c,222,90.9
272,chipotl41,858,100.0
273,cellnowstore,2838,98.3
274,samwholes0,2113,99.2
275,pallettown904,12568,98.5
276,everydayfulfillment_kc,194031,99.1
277,olgbular-0,2396,99.7
278,solgad27,0,0.0
279,backspacedeals,3134,98.0
280,dsnstore,1776,99.8
281,hadar3346,588,95.1
282,big-bin,1988,98.7
283,theexpresscenter,8103,98.6
284,keepyoudrybarbgoeman,1525,99.6
285,curatedgreatsllc,336,100.0
286,mewat-8150,6,80.0
287,raah-7986,533,98.8
288,renewtechhub,6419,99.9
289,homer1012981x5f,453,100.0
290,rikitiki2,18,100.0
291,godessgoods,151,100.0
292,ua_team_sales,2051,99.7
293,sjo_04,1516,98.5
294,touch.down2c52,153,100.0
295,ma-640531,2,100.0
296,southbayresident,213,100.0
297,onlinemartus,3168,100.0
298,samedaytools,1176,99.5
299,nadsf_51,376,98.5
300,macpartsplus,395,100.0
301,proelement,258,99.2
302,ntm_depot,14,100.0
303,world_one_japan,38,100.0
304,lilmikey585,43,100.0
305,joyfultreasures2010,2208,99.1
306,yyelectronicincyy,5787,98.8
307,edssr,2903,99.8
308,vintage-chronicles2.0,2443,100.0
309,bamtulsa,1578,99.2
310,aski15,0,0.0
311,bk4c_69,3,0.0
312,always_so_poor,3343,100.0
313,electronicscentralstore,1229,98.1
314,lower48bargains,4637,99.8
315,slickreturns,1315,94.7
316,clastuc-0,10,100.0
317,cho2_43,325,97.9
318,stevoflipo,3347,99.6
319,heavenandhellnovelties,90,100.0
320,cynj-8057,50,95.7
321,tharpx,688,92.0
322,yoshipug1234,654,97.0
323,ronmel1616,12293,97.7
324,336alexa,754,100.0
325,kmodo1,4436,99.8
326,tubejunkie,15876,99.8
327,parts_link,27708,99.7
328,masters_458,14,100.0
329,spacecityproviders,2841,95.9
330,focuscamera,185669,99.1
331,in.formed,248,93.0
332,sunnishyn-0,35,0.0
333,robertb8287,2889,98.4
334,datuc_8472,682,96.5
335,lebar-1980,26,100.0
336,austin316316,6463,100.0
337,pefa-87,2389,98.9
338,blvd-sales-19,2770,99.9
339,bargain_shack_usa,51566,99.8
340,thanossnaps,10520,98.5
341,tvnguyen50,107,100.0
342,chancesmom2013,2218,100.0
343,yukon4922,450,99.2
344,minipcsnmore,7550,96.8
345,japancreateavenue,616,99.7
346,qcsuperstore,2863,98.5
347,vitale1964,11894,99.5
348,edenam-41,407,98.2
349,urieenrique_90,2170,99.5
350,203cobra,896,99.1
351,ticernigli_0,20,75.0
352,cherrobi1,7310,99.2
353,skinperfectcosmetic,34870,97.3
354,backups,484,97.8
355,weberbj2012,138,95.0
356,triplenetpricing,11436,89.7
357,shawn023,355,96.2
358,maadist,4584,98.4
359,thriftyshopper96,9060,98.7
360,thebestthingsco,5657,99.6
361,cashchris25,4798,99.0
362,dahol8817,679,98.0
363,lahaciendapawn,3286,92.9
364,jenn_iruk,5928,99.1
365,beni-cand,181,96.2
366,city-supply-inc,22675,98.4
367,anniehall771,81,95.4
368,noa.barcl,4981,99.5
369,allinallinc,1209,97.0
370,amluxurybeauty,564,99.0
371,kingtopdeals,18670,93.4
372,ergar_712727,1707,98.3
373,yasvald0,7499,99.3
374,nathanscraftsnmore,1190,98.9
375,molvanian,5747,100.0
376,aidensgoods7,35,100.0
377,cold_electric,2498,93.9
378,asaleinmycloset,444,94.4
379,wtdeer4,977,97.6
380,thevintageshop1776,12,100.0
381,outleth74,3337,88.2
382,i3urton343_6,655,92.4
383,nycreliable,5111,97.2
384,gallagherc,6552,98.9
385,kc913sales,8473,90.6
386,intellitechvacs,260,100.0
387,i-reutilize,2862,94.8
388,loramakenzi,83,93.0
389,artoffacts,276,94.7
390,dubby9671,10,100.0
391,yologear215,808,95.5
392,wholesaleliquidator99,932,97.6
393,countrycollectibles27,351,98.8
394,acmerainier,7267,99.8
395,classicvacuum,11655,100.0
396,disb2010,1944,100.0
397,bangarangcollections,6453,99.9
398,savethedollar,876,100.0
399,macho--madness,2363,99.2
400,teralc-0,25,100.0
401,marcu-thrif,3615,99.5
402,laurelonlinedeals,12203,99.5
403,redtagcamera,84499,99.6
404,wbpawn,24658,98.8
405,insightful-finds,845,100.0
406,strum-und-bang,1994,99.4
407,goalieforlife35,84,100.0
408,formulahl,26,96.4
409,redbike24,1478,100.0
410,hubeck03,558,94.7
411,globalbeaders,520,100.0
412,chernandez8476,180,100.0
413,wopdoo,5619,97.3
414,23wholesale,3134,98.8
415,sketchagraphs,4950,100.0
416,ultim4t32,1530,99.5
417,panamapanama2013,313,99.2
418,soggytoast76,153,99.3
419,daretodazzlenet,1534,99.1
420,quicktrends,31,100.0
421,brandusedgoods,2529,99.4
422,sulli-7628,709,99.6
423,ykvintagefinds,4888,99.8
424,dawayoutz,2724,97.3
425,claudiov8578,5402,99.1
426,theredstuff,380,99.7
427,found_and_co,1731,99.8
428,mikes-merchandise,38640,99.4
429,jorgguerrer-2,442,98.0
430,rama-1902,1289,98.9
431,sav4580,2848,99.8
432,ilektronike2012,2340,98.7
433,progeardeals1,30,100.0
434,beautypurplemagic,710,97.1
435,videojam-half,203213,99.3
436,sanmarcolux,15,100.0
437,eleongroup,4452,99.7
438,fortyfourvintage,943,99.8
439,toolsandmore-7,4360,98.8
440,snydertreasures,2224,98.5
441,rjan-61,887,98.9
442,ecomtec,384,100.0
443,maurneg-65,400,99.3
444,samaras_electronics,2461,99.6
445,littlebeak,2634,99.4
446,the--everything--store,2002,99.5
447,smuser12,31520,99.3
448,ah11sales,4630,98.7
449,pawnamerica,198880,99.8
450,ivancito16,9905,97.9
451,super-six-four,1700,98.1
452,acipriani,1549,100.0
453,m2electronics,2386,99.6
454,gorete33,146,99.3
455,the_emporium007,338,99.7
456,azing-devicestore,8770,99.4
457,changeinthejar,9378,99.7
458,flygirlscouture-consignment,5203,97.3
459,lindplace,427,100.0
460,9147davidk,1958,100.0
461,sophiasboutique,5686,98.5
462,ks_-50,8035,99.4
463,jua.terr,106,100.0
464,bub2106j7x6,1129,100.0
465,quasi098,112893,99.2
466,buyselltradeworld,1333,100.0
467,savingyoumoney_1990,1341,100.0
468,wholesalejim,135343,99.7
469,mauralu,573,99.2
470,ohiodealsforyou,544,100.0
471,galfromthesouth,3928,100.0
472,melanipotte42,137,100.0
473,jzmacdaddy,3353,100.0
474,ultimatepower,7125,100.0
475,space_captain_susumu_kodai,1280,99.7
476,wny7p22,135,97.2
477,cor_530314,11,100.0
478,avoidpayingretail,4005,98.8
479,realgoodgoodz,4677,100.0
480,soledout.jerseycity,3574,99.8
481,rjpawnshop,6001,99.0
482,bishopscloset,1419,100.0
483,hobbyboxny,5746,99.0
484,esab-2087,63,98.5
485,dealsbymira,563,98.3
486,michaedeleo_50,880,99.6
487,sl1mthechosen1,2874,99.4
488,mobitelhqstore,860,98.7
489,discountgrab,47701,99.3
490,iheartvintagethings,6970,99.2
491,allforsale742,1024,98.8
492,tuhiverm0,52,100.0
493,jhardgoods,186,99.3
494,misterorme,203,97.4
495,iv_891,1494,99.0
496,ehexatech,5560,100.0
497,shyjapan,681,99.2
498,eco_techs,605,99.7
499,shopcelldeals,235564,99.2
500,adiros_79,126,97.7
501,murkman172012,4762,99.5
502,yaz4444,52,100.0
503,bug111999,3134,94.8
504,konza-deal-depot,373,97.6
505,mcgurgs-sells,660,99.8
506,imacer93,1844,97.9
507,wtradex,13536,100.0
508,digiboy52,1702,98.9
509,gbzenterprises,1115,100.0
510,phltbays,1850,100.0
511,honestliquidators,2030,98.4
512,joeybadabing22,1549,99.3
513,fishonubz,244,99.0
514,qdhan-93,1,100.0
515,thetradingpostde,752,99.0
516,edwardsantiag_0,1411,98.5
517,babga_0,4551,98.7
518,mimicoantiques,10369,100.0
519,birdsongg,1494,99.0
520,envisionvintage,1706,99.6
521,certifiedtech4less,156,100.0
522,razzpawn,100,99.0
523,shopper_stop2024,36,97.3
524,utradeshow,538,100.0
525,rickj70,792,100.0
526,esoteric_specialties,5255,100.0
527,flippingtimmyresale,1061,99.7
528,zhe-7779,634,99.7
529,pomonapawn2012,4328,99.9
530,friendsandfamilymarket,165,99.2
531,biddazzled,35680,99.8
532,slk002-store,106,99.1
533,todaysdeals0,34,100.0
534,luxxgoods101,0,0.0
535,sd_sales14,3238,99.8
536,stevmar14,5204,100.0
537,elizdod-70,4,0.0
