item_id,price_usd,original_price_usd,discount_percentage,discount_amount_usd,shipping_cost_usd,date_time
126248135330,163.97,176.59,7.0,12.62,,2024-11-18 12:47:56.888549
126667832991,100.88,,,,,2024-11-18 12:47:57.732212
134912039799,170.28,,,,56.25,2024-11-18 12:47:58.725466
395913285368,88.31,,,,48.38,2024-11-18 12:48:00.158083
404539479309,119.81,,,,,2024-11-18 12:48:01.951088
156207813366,567.75,,,,87.38,2024-11-18 12:48:02.820488
387610490617,100.93,,,,60.18,2024-11-18 12:48:03.656101
276678454578,304.61,,,,,2024-11-18 12:48:04.438009
134927384382,150.15,,,,66.24,2024-11-18 12:48:05.163004
122441460199,176.59,,,,62.42,2024-11-18 12:48:06.548317
135288069284,805.53,,,,,2024-11-18 12:48:07.286250
176579463541,100.93,,,,50.52,2024-11-18 12:48:08.492963
186761634321,210.8,,,,,2024-11-18 12:48:09.222400
315880879117,113.55,,,,71.71,2024-11-18 12:48:10.051911
126361619559,189.21,,,,74.47,2024-11-18 12:48:10.992941
404625806719,119.81,,,,,2024-11-18 12:48:12.191493
235813507018,85.16,94.62,10.0,9.46,53.31,2024-11-18 12:48:13.010371
196788730652,82.0,,,,69.17,2024-11-18 12:48:13.729185
125283108601,239.68,,,,,2024-11-18 12:48:15.859987
315893022809,198.15,,,,15.81,2024-11-18 12:48:17.203709
276732517518,107.24,,,,60.82,2024-11-18 12:48:18.086686
124253735953,239.68,,,,,2024-11-18 12:48:18.965643
395658594509,173.91,,,,16.86,2024-11-18 12:48:19.929906
126414045966,189.21,,,,48.69,2024-11-18 12:48:22.625008
315851279435,84.31,,,,,2024-11-18 12:48:23.339341
146186741566,151.38,,,,55.59,2024-11-18 12:48:24.664106
404885050734,119.81,,,,,2024-11-18 12:48:27.175525
126252045941,176.59,,,,,2024-11-18 12:48:27.912447
387301023832,100.94,,,,62.11,2024-11-18 12:48:28.730781
134913217604,214.44,,,,63.72,2024-11-18 12:48:29.853337
226434326350,189.21,,,,60.68,2024-11-18 12:48:30.680797
226434299491,189.21,,,,60.68,2024-11-18 12:48:32.676591
116264099940,158.92,,,,69.95,2024-11-18 12:48:33.471543
116361242117,201.82,,,,71.43,2024-11-18 12:48:34.293320
114732822345,201.82,,,,52.3,2024-11-18 12:48:36.213464
125255164873,201.82,,,,71.43,2024-11-18 12:48:37.074298
126252334635,163.97,,,,73.6,2024-11-18 12:48:38.195406
134899693621,145.04,,,,69.47,2024-11-18 12:48:38.970144
387613485408,152.78,,,,,2024-11-18 12:48:39.725140
126252382233,163.97,,,,56.02,2024-11-18 12:48:40.936208
395616047142,180.23,,,,,2024-11-18 12:48:41.707244
235815140723,88.26,,,,53.41,2024-11-18 12:48:42.489535
116392996381,111.04,,,,81.73,2024-11-18 12:48:43.191934
134912016368,189.21,,,,62.85,2024-11-18 12:48:44.214074
134990053458,227.06,,,,53.17,2024-11-18 12:48:45.430744
123437687481,227.06,,,,,2024-11-18 12:48:46.115312
126675368358,176.59,,,,,2024-11-18 12:48:46.823081
126637083298,239.68,,,,50.43,2024-11-18 12:48:47.774810
235820853475,94.64,,,,53.65,2024-11-18 12:48:48.536689
326223891082,138.73,,,,31.55,2024-11-18 12:48:49.357602
404827239002,119.81,,,,,2024-11-18 12:48:50.551711
124415788170,176.59,,,,59.63,2024-11-18 12:48:51.521718
126269366268,126.12,,,,51.39,2024-11-18 12:48:52.466448
387613315783,247.64,,,,,2024-11-18 12:48:53.282638
126675380905,176.59,,,,,2024-11-18 12:48:54.435829
135194610508,264.91,,,,67.76,2024-11-18 12:48:55.180112
126728624746,239.68,,,,76.06,2024-11-18 12:48:56.045873
114215623595,239.68,,,,,2024-11-18 12:48:56.794382
126251837873,138.73,151.35,8.0,12.62,,2024-11-18 12:48:57.670733
114295467492,239.68,,,,,2024-11-18 12:48:58.567712
385531981006,796.77,,,,,2024-11-18 12:48:59.379579
204311258414,94.64,,,,48.6,2024-11-18 12:49:00.795072
387563100356,100.93,,,,53.85,2024-11-18 12:49:01.641065
235822138412,113.56,,,,54.31,2024-11-18 12:49:02.483840
226319329838,112.99,,,,58.8,2024-11-18 12:49:03.248250
404232846190,119.81,,,,,2024-11-18 12:49:04.753847
226394307926,100.93,,,,69.63,2024-11-18 12:49:05.507633
126669608748,100.88,,,,,2024-11-18 12:49:06.322138
135071852901,182.9,,,,67.37,2024-11-18 12:49:07.408998
126251873612,214.44,,,,,2024-11-18 12:49:08.154295
126728185862,201.82,,,,74.76,2024-11-18 12:49:08.974611
226438025183,113.55,,,,62.53,2024-11-18 12:49:09.651242
405307036896,152.0,,,,,2024-11-18 12:49:11.235755
126774294018,201.82,,,,74.91,2024-11-18 12:49:11.988138
123891672280,189.21,,,,62.85,2024-11-18 12:49:13.718238
135186431972,1075.58,,,,,2024-11-18 12:49:15.153669
226371576005,112.99,,,,57.1,2024-11-18 12:49:15.976593
126774304074,201.82,,,,74.91,2024-11-18 12:49:16.785248
204826926356,263.49,,,,,2024-11-18 12:49:17.959193
134922763638,151.35,,,,69.69,2024-11-18 12:49:19.166791
162962595677,124.92,,,,37.84,2024-11-18 12:49:20.653445
204826979465,263.49,,,,,2024-11-18 12:49:21.357041
126774288082,201.82,,,,74.91,2024-11-18 12:49:22.719739
176626774607,94.57,,,,53.64,2024-11-18 12:49:24.354375
146062679690,176.64,,,,59.63,2024-11-18 12:49:25.538443
226088810302,112.99,,,,61.73,2024-11-18 12:49:26.393851
176682310012,738.15,,,,93.26,2024-11-18 12:49:27.686258
286068698806,88.31,,,,57.64,2024-11-18 12:49:28.541632
126251842988,138.73,151.35,8.0,12.62,75.73,2024-11-18 12:49:29.352119
276661283924,82.0,,,,75.23,2024-11-18 12:49:30.184767
326313521740,82.0,,,,76.5,2024-11-18 12:49:31.097533
126635475364,126.12,,,,54.72,2024-11-18 12:49:31.958142
404372218704,119.81,,,,,2024-11-18 12:49:32.677659
126637242602,151.35,,,,52.26,2024-11-18 12:49:33.612395
235829629993,100.93,,,,53.85,2024-11-18 12:49:35.084898
123887029292,189.21,,,,,2024-11-18 12:49:36.356116
135073376215,138.73,,,,63.41,2024-11-18 12:49:37.211384
126667816118,100.88,,,,,2024-11-18 12:49:39.800441
122746025115,171.54,,,,70.38,2024-11-18 12:49:40.729289
395722188875,88.31,,,,64.1,2024-11-18 12:49:41.640711
205015405876,87.05,,,,64.06,2024-11-18 12:49:45.199093
126577787271,88.26,,,,53.41,2024-11-18 12:49:47.013697
387576658225,113.55,,,,75.15,2024-11-18 12:49:47.920230
156173916947,525.95,,,,,2024-11-18 12:49:48.682788
126252358620,176.59,,,,56.47,2024-11-18 12:49:49.535267
